UDI,Product ID,Nombre_Producto,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1377,M16236,Producto 7402,Medio,"298,8","310,2",1527,"31,2",102,0,No Failure
1378,L48557,Producto 1816,Bajo,"298,8","310,2",1461,"46,7",105,0,No Failure
1379,H30792,Producto 167,Alto,"298,8","310,2",1455,"44,9",107,0,No Failure
1380,L48559,Producto 1817,Bajo,"298,7","310,1",1620,"34,8",112,0,No Failure
1381,L48560,Producto 1818,Bajo,"298,7","310,1",1786,"27,7",114,0,No Failure
1382,M16241,Producto 7403,Medio,"298,8","310,2",1583,"35,7",116,0,No Failure
1383,L48562,Producto 1819,Bajo,"298,8","310,1",1653,"30,3",119,0,No Failure
1384,M16243,Producto 7404,Medio,"298,9","310,2",1331,49,121,0,No Failure
1385,L48564,Producto 1820,Bajo,"298,9","310,3",1484,"43,8",124,0,No Failure
1386,M16245,Producto 7405,Medio,"298,9","310,2",1603,"36,1",126,0,No Failure
1387,L48566,Producto 1821,Bajo,"298,9","310,2",1445,40,129,0,No Failure
1388,L48567,Producto 1822,Bajo,"298,9","310,1",1823,"26,1",131,0,No Failure
1389,H30802,Producto 168,Alto,"298,9","310,1",1491,"45,3",133,0,No Failure
1390,L48569,Producto 1823,Bajo,"298,9","310,2",1533,"42,8",138,0,No Failure
1391,L48570,Producto 1824,Bajo,"298,9","310,2",1409,"54,8",140,0,No Failure
1392,L48571,Producto 1825,Bajo,"298,9","310,2",2737,"8,8",142,1,Power Failure
1393,M16252,Producto 7406,Medio,299,"310,3",1494,"46,6",144,0,No Failure
1394,L48573,Producto 1826,Bajo,"299,1","310,4",1594,"33,3",147,0,No Failure
1395,L48574,Producto 1827,Bajo,"299,1","310,4",1527,44,149,0,No Failure
1396,L48575,Producto 1828,Bajo,"299,1","310,4",1452,"39,7",151,0,No Failure
1397,L48576,Producto 1829,Bajo,299,"310,3",1483,"39,2",153,0,No Failure
1398,L48577,Producto 1830,Bajo,"299,1","310,2",1569,"38,2",155,0,No Failure
1399,L48578,Producto 1831,Bajo,"299,1","310,3",1472,"46,6",157,0,No Failure
1400,L48579,Producto 1832,Bajo,299,"310,2",1533,"43,5",159,0,No Failure
1401,H30814,Producto 169,Alto,"298,9","310,1",1366,"62,7",161,0,No Failure
1402,H30815,Producto 170,Alto,"298,9","310,2",1532,"37,7",166,0,No Failure
1403,M16262,Producto 7407,Medio,"298,9","310,1",1313,"56,8",171,0,No Failure
1404,L48583,Producto 1833,Bajo,299,"310,2",1372,48,174,0,No Failure
1405,M16264,Producto 7408,Medio,"298,9","310,1",1555,"40,6",176,0,No Failure
1406,L48585,Producto 1834,Bajo,"298,9","310,1",1394,"42,7",179,0,No Failure
1407,L48586,Producto 1835,Bajo,"298,9","310,1",1442,48,181,0,No Failure
1408,L48587,Producto 1836,Bajo,"298,9",310,1564,"33,8",183,0,No Failure
1409,L48588,Producto 1837,Bajo,"298,9",310,1452,"48,9",185,0,No Failure
1410,L48589,Producto 1838,Bajo,"298,9","310,1",1466,"42,5",187,0,No Failure
1411,M16270,Producto 7409,Medio,"298,9","310,1",1469,"53,2",189,0,No Failure
1412,L48591,Producto 1839,Bajo,"298,9","310,1",1944,"23,4",192,0,No Failure
1413,M16272,Producto 7410,Medio,"298,8","309,9",1415,"53,2",194,0,No Failure
1414,M16273,Producto 7411,Medio,"298,7","309,8",1528,"36,7",197,0,No Failure
1415,M16274,Producto 7412,Medio,"298,7","309,8",1570,"42,1",200,0,No Failure
1416,L48595,Producto 1840,Bajo,"298,7","309,9",1617,33,203,0,No Failure
1417,M16276,Producto 7413,Medio,"298,7","309,9",2083,"18,2",205,0,No Failure
1418,L48597,Producto 1841,Bajo,"298,7","309,9",1541,"38,5",208,0,No Failure
1419,L48598,Producto 1842,Bajo,"298,8","309,9",1320,"47,4",210,0,No Failure
1420,L48599,Producto 1843,Bajo,"298,7","309,8",1354,"53,3",212,1,Overstrain Failure
1421,M16280,Producto 7414,Medio,"298,8","309,9",1495,"35,2",214,0,No Failure
1422,L48601,Producto 1844,Bajo,"298,7","309,8",1589,"31,8",217,0,No Failure
1423,L48602,Producto 1845,Bajo,"298,7","309,8",1530,"35,5",0,0,No Failure
1424,L48603,Producto 1846,Bajo,"298,7","309,8",1539,"33,4",2,0,No Failure
1425,L48604,Producto 1847,Bajo,"298,7","309,7",1462,"46,8",4,0,No Failure
1426,L48605,Producto 1848,Bajo,"298,6","309,7",1356,54,6,0,No Failure
1427,M16286,Producto 7415,Medio,"298,7","309,7",1622,"34,6",8,0,No Failure
1428,L48607,Producto 1849,Bajo,"298,7","309,8",1394,"40,3",11,0,No Failure
1429,L48608,Producto 1850,Bajo,"298,8","309,9",1568,"33,7",13,0,No Failure
1430,M16289,Producto 7416,Medio,"298,9",310,1456,"43,8",15,0,No Failure
1431,L48610,Producto 1851,Bajo,"298,9",310,1378,"49,3",18,0,No Failure
1432,M16291,Producto 7417,Medio,"298,9","309,9",1404,"41,4",20,0,No Failure
1433,L48612,Producto 1852,Bajo,"298,8","309,8",1437,"42,8",23,0,No Failure
1434,L48613,Producto 1853,Bajo,"298,8","309,8",1363,44,25,0,No Failure
1435,M16294,Producto 7418,Medio,"298,8","309,8",1377,"49,6",27,0,No Failure
1436,H30849,Producto 171,Alto,"298,8","309,9",1526,"42,1",30,0,No Failure
1437,H30850,Producto 172,Alto,"298,8","309,8",1510,"44,2",35,0,No Failure
1438,H30851,Producto 173,Alto,"298,8","309,9",1439,"45,2",40,1,No Failure
1439,L48618,Producto 1854,Bajo,"298,8","309,9",1482,"39,1",45,0,No Failure
1440,M16299,Producto 7419,Medio,"298,8","309,8",1534,37,47,0,No Failure
1441,M16300,Producto 7420,Medio,"298,8","309,9",1741,"27,7",50,0,No Failure
1442,L48621,Producto 1855,Bajo,"298,8","309,9",1550,"38,8",53,0,No Failure
1443,M16302,Producto 7421,Medio,"298,8",310,1486,"38,5",55,0,No Failure
1444,L48623,Producto 1856,Bajo,"298,9","310,1",1602,"38,2",58,0,No Failure
1445,L48624,Producto 1857,Bajo,299,"310,2",1477,"37,9",60,0,No Failure
1446,L48625,Producto 1858,Bajo,299,"310,1",1618,"29,2",62,0,No Failure
1447,M16306,Producto 7422,Medio,299,"310,2",1628,"35,8",64,0,No Failure
1448,M16307,Producto 7423,Medio,299,"310,3",1662,"33,6",67,0,No Failure
1449,M16308,Producto 7424,Medio,299,"310,3",1657,31,70,0,No Failure
1450,H30863,Producto 174,Alto,299,"310,4",1677,"30,8",73,0,No Failure
1451,M16310,Producto 7425,Medio,299,"310,3",1447,"39,9",78,0,No Failure
1452,L48631,Producto 1859,Bajo,"298,9","310,4",1831,"25,4",81,0,No Failure
1453,L48632,Producto 1860,Bajo,299,"310,3",1584,"34,4",83,0,No Failure
1454,L48633,Producto 1861,Bajo,"299,1","310,4",1450,"40,9",85,0,No Failure
1455,L48634,Producto 1862,Bajo,"299,1","310,4",1428,"46,9",87,0,No Failure
1456,L48635,Producto 1863,Bajo,299,"310,4",1382,53,89,0,No Failure
1457,L48636,Producto 1864,Bajo,299,"310,3",1501,43,91,0,No Failure
1458,L48637,Producto 1865,Bajo,299,"310,3",1475,"42,4",93,0,No Failure
1459,L48638,Producto 1866,Bajo,"298,9","310,3",1364,54,95,0,No Failure
1460,L48639,Producto 1867,Bajo,299,"310,3",1472,"36,1",97,0,No Failure
1461,L48640,Producto 1868,Bajo,299,"310,3",1437,"47,8",99,0,No Failure
1462,L48641,Producto 1869,Bajo,"298,9","310,2",1491,"45,1",101,0,No Failure
1463,L48642,Producto 1870,Bajo,"298,9","310,2",1706,"27,6",103,0,No Failure
1464,L48643,Producto 1871,Bajo,"298,8","310,1",1607,"39,5",105,0,No Failure
1465,L48644,Producto 1872,Bajo,"298,8",310,1412,"46,3",107,0,No Failure
1466,L48645,Producto 1873,Bajo,"298,7","309,8",1546,"40,9",109,0,No Failure
1467,L48646,Producto 1874,Bajo,"298,7","309,8",1365,"50,5",111,0,No Failure
1468,L48647,Producto 1875,Bajo,"298,6","309,8",1544,"30,2",113,0,No Failure
1469,M16328,Producto 7426,Medio,"298,6","309,8",1419,"44,9",115,0,No Failure
1470,L48649,Producto 1876,Bajo,"298,6","309,8",1497,"41,6",118,0,No Failure
1471,L48650,Producto 1877,Bajo,"298,5","309,7",1437,"42,6",120,0,No Failure
1472,L48651,Producto 1878,Bajo,"298,5","309,6",1421,"53,6",122,0,No Failure
1473,M16332,Producto 7427,Medio,"298,5","309,6",1438,"44,5",124,0,No Failure
1474,M16333,Producto 7428,Medio,"298,5","309,5",1315,"48,9",127,0,No Failure
1475,M16334,Producto 7429,Medio,"298,5","309,5",1366,"61,9",130,0,No Failure
1476,M16335,Producto 7430,Medio,"298,4","309,5",1519,"35,4",133,0,No Failure
1477,L48656,Producto 1879,Bajo,"298,4","309,5",1692,"28,3",136,0,No Failure
1478,L48657,Producto 1880,Bajo,"298,3","309,4",1570,"35,6",138,0,No Failure
1479,L48658,Producto 1881,Bajo,"298,3","309,4",1568,"35,8",140,0,No Failure
1480,L48659,Producto 1882,Bajo,"298,2","309,3",1355,"43,8",142,0,No Failure
1481,M16340,Producto 7431,Medio,"298,2","309,3",2056,"18,7",144,0,No Failure
1482,M16341,Producto 7432,Medio,"298,2","309,2",1332,"60,2",147,0,No Failure
1483,M16342,Producto 7433,Medio,"298,1","309,1",1448,"52,5",150,0,No Failure
1484,L48663,Producto 1883,Bajo,298,"308,9",1578,"35,6",153,0,No Failure
1485,M16344,Producto 7434,Medio,298,309,1562,"39,2",155,0,No Failure
1486,M16345,Producto 7435,Medio,"298,1",309,1976,"19,3",158,0,No Failure
1487,M16346,Producto 7436,Medio,"298,2","309,2",1524,"34,6",161,0,No Failure
1488,L48667,Producto 1884,Bajo,"298,2","309,1",1429,"48,5",164,0,No Failure
1489,L48668,Producto 1885,Bajo,"298,2","309,1",1568,"36,3",166,0,No Failure
1490,M16349,Producto 7437,Medio,"298,2",309,1723,"26,6",168,0,No Failure
1491,L48670,Producto 1886,Bajo,"298,2",309,1341,"43,8",171,0,No Failure
1492,M16351,Producto 7438,Medio,"298,1","308,9",1353,"46,2",173,0,No Failure
1493,M16352,Producto 7439,Medio,298,"308,7",1479,"58,5",176,1,Power Failure
1494,L48673,Producto 1887,Bajo,298,"308,8",1496,"44,9",179,0,No Failure
1495,M16354,Producto 7440,Medio,298,"308,7",1377,"48,5",181,0,No Failure
1496,H30909,Producto 175,Alto,"297,9","308,5",1383,"44,6",184,0,No Failure
1497,L48676,Producto 1888,Bajo,298,"308,7",1268,"69,4",189,1,Power Failure
1498,L48677,Producto 1889,Bajo,298,"308,7",1629,"34,3",191,0,No Failure
1499,L48678,Producto 1890,Bajo,298,"308,8",1790,"27,2",193,0,No Failure
1500,M16359,Producto 7441,Medio,"298,1","308,8",2206,"16,3",195,0,No Failure
1501,M16360,Producto 7442,Medio,298,"308,7",2101,"17,4",198,0,No Failure
1502,M16361,Producto 7443,Medio,298,"308,7",1436,"48,2",201,0,No Failure
1503,L48682,Producto 1891,Bajo,298,"308,7",1462,"48,2",204,0,No Failure
1504,L48683,Producto 1892,Bajo,298,"308,7",1771,"26,2",206,0,No Failure
1505,L48684,Producto 1893,Bajo,298,"308,7",1506,47,208,0,No Failure
1506,L48685,Producto 1894,Bajo,298,"308,7",1626,"36,7",210,0,No Failure
1507,L48686,Producto 1895,Bajo,298,"308,8",1610,"33,7",212,0,No Failure
1508,M16367,Producto 7444,Medio,298,"308,6",1376,"55,7",214,0,No Failure
1509,M16368,Producto 7445,Medio,298,"308,6",1507,"37,3",217,0,No Failure
1510,L48689,Producto 1896,Bajo,298,"308,5",1429,"37,7",220,1,Tool Wear Failure
1511,M16370,Producto 7446,Medio,"298,1","308,7",1547,"38,9",0,0,No Failure
1512,L48691,Producto 1897,Bajo,"298,1","308,7",1642,"30,3",3,0,No Failure
1513,H30926,Producto 176,Alto,298,"308,7",1503,"36,3",5,0,No Failure
1514,L48693,Producto 1898,Bajo,"298,1","308,7",1568,"32,9",10,0,No Failure
1515,M16374,Producto 7447,Medio,"298,1","308,8",1628,"37,6",12,0,No Failure
1516,M16375,Producto 7448,Medio,"298,2","308,9",1614,"35,5",15,0,No Failure
1517,L48696,Producto 1899,Bajo,"298,2","308,9",1278,54,18,0,No Failure
1518,M16377,Producto 7449,Medio,"298,2","308,9",1408,"38,8",20,0,No Failure
1519,H30932,Producto 177,Alto,"298,2",309,1371,"55,7",23,0,No Failure
1520,M16379,Producto 7450,Medio,"298,2","308,9",1512,"38,5",28,0,No Failure
1521,L48700,Producto 1900,Bajo,"298,3","309,1",1472,"40,1",31,0,No Failure
1522,M16381,Producto 7451,Medio,"298,2","308,9",1585,"34,3",33,0,No Failure
1523,H30936,Producto 178,Alto,"298,2",309,1562,"37,7",36,0,No Failure
1524,L48703,Producto 1901,Bajo,"298,3",309,1519,"36,9",41,0,No Failure
1525,L48704,Producto 1902,Bajo,"298,2",309,1601,"35,8",43,0,No Failure
1526,L48705,Producto 1903,Bajo,"298,2",309,2449,"13,8",45,0,No Failure
1527,L48706,Producto 1904,Bajo,"298,1",309,1787,"27,6",47,0,No Failure
1528,H30941,Producto 179,Alto,"298,1","309,1",1425,"44,5",49,0,No Failure
1529,L48708,Producto 1905,Bajo,"298,1",309,1559,34,54,0,No Failure
1530,L48709,Producto 1906,Bajo,"298,1",309,1557,36,56,0,No Failure
1531,L48710,Producto 1907,Bajo,"298,1",309,1497,"40,5",58,0,No Failure
1532,H30945,Producto 180,Alto,"298,1",309,1438,"41,4",60,0,No Failure
1533,M16392,Producto 7452,Medio,"298,1","308,9",1417,"39,2",65,0,No Failure
1534,M16393,Producto 7453,Medio,298,"308,9",1339,"51,4",68,0,No Failure
1535,L48714,Producto 1908,Bajo,298,"308,8",1757,"29,1",71,0,No Failure
1536,L48715,Producto 1909,Bajo,298,"308,8",1581,"36,1",73,0,No Failure
1537,M16396,Producto 7454,Medio,"298,2","308,9",1326,"54,4",75,0,No Failure
1538,M16397,Producto 7455,Medio,"298,4","309,1",1467,"39,6",78,0,No Failure
1539,L48718,Producto 1910,Bajo,"298,4","309,1",1798,"29,6",81,0,No Failure
1540,M16399,Producto 7456,Medio,"298,5","309,2",1449,"46,4",83,0,No Failure
1541,M16400,Producto 7457,Medio,"298,4","309,1",1525,"39,3",86,0,No Failure
1542,L48721,Producto 1911,Bajo,"298,4",309,2304,"15,1",89,0,No Failure
1543,L48722,Producto 1912,Bajo,"298,3","308,9",1379,"54,7",91,0,No Failure
1544,L48723,Producto 1913,Bajo,"298,4","308,9",1628,"34,9",93,0,No Failure
1545,L48724,Producto 1914,Bajo,"298,4",309,1474,"52,7",95,0,No Failure
1546,M16405,Producto 7458,Medio,"298,4",309,1544,"38,8",97,0,No Failure
1547,L48726,Producto 1915,Bajo,"298,4","308,9",1391,"48,4",100,0,No Failure
1548,L48727,Producto 1916,Bajo,"298,3","308,9",1348,"55,5",102,0,No Failure
1549,M16408,Producto 7459,Medio,"298,3","308,8",1349,"52,1",104,0,No Failure
1550,L48729,Producto 1917,Bajo,"298,4","308,9",1706,"29,5",107,0,No Failure
1551,L48730,Producto 1918,Bajo,"298,4","308,9",1638,"32,4",109,0,No Failure
1552,L48731,Producto 1919,Bajo,"298,4","308,8",1458,"40,1",111,0,No Failure
1553,L48732,Producto 1920,Bajo,"298,5","308,9",1781,"27,8",113,0,No Failure
1554,L48733,Producto 1921,Bajo,"298,5","308,8",1332,"59,1",115,0,No Failure
1555,M16414,Producto 7460,Medio,"298,4","308,7",1584,"31,7",117,0,No Failure
1556,L48735,Producto 1922,Bajo,"298,4","308,6",1491,42,120,0,No Failure
1557,H30970,Producto 181,Alto,"298,4","308,5",1398,"47,1",122,0,No Failure
1558,L48737,Producto 1923,Bajo,"298,3","308,4",1585,"30,6",127,0,No Failure
1559,M16418,Producto 7461,Medio,"298,2","308,3",1476,"43,5",129,0,No Failure
1560,L48739,Producto 1924,Bajo,"298,2","308,3",1458,"41,8",132,0,No Failure
1561,M16420,Producto 7462,Medio,"298,2","308,4",1510,"39,9",134,0,No Failure
1562,L48741,Producto 1925,Bajo,"298,2","308,4",1388,"53,8",137,0,No Failure
1563,L48742,Producto 1926,Bajo,"298,2","308,3",2216,"16,8",139,0,No Failure
1564,L48743,Producto 1927,Bajo,"298,2","308,3",1402,51,141,0,No Failure
1565,M16424,Producto 7463,Medio,298,"308,2",2090,19,143,0,No Failure
1566,L48745,Producto 1928,Bajo,298,"308,2",1459,"42,1",146,0,No Failure
1567,M16426,Producto 7464,Medio,298,"308,1",1403,"44,8",148,0,No Failure
1568,L48747,Producto 1929,Bajo,"298,1","308,2",1521,"39,3",151,0,No Failure
1569,L48748,Producto 1930,Bajo,"298,2","308,2",1407,"47,1",153,0,No Failure
1570,M16429,Producto 7465,Medio,"298,1","308,2",1654,"35,3",155,0,No Failure
1571,L48750,Producto 1931,Bajo,"298,2","308,4",1452,"43,5",158,0,No Failure
1572,L48751,Producto 1932,Bajo,"298,3","308,4",1528,"37,3",160,0,No Failure
1573,L48752,Producto 1933,Bajo,"298,2","308,3",1230,"59,6",162,0,No Failure
1574,L48753,Producto 1934,Bajo,"298,2","308,2",1466,"42,4",164,0,No Failure
1575,L48754,Producto 1935,Bajo,"298,2","308,2",1478,"50,1",166,0,No Failure
1576,L48755,Producto 1936,Bajo,"298,2","308,3",2057,18,168,0,No Failure
1577,L48756,Producto 1937,Bajo,"298,3","308,4",1490,"41,7",170,0,No Failure
1578,L48757,Producto 1938,Bajo,"298,3","308,4",1484,"43,4",172,0,No Failure
1579,L48758,Producto 1939,Bajo,"298,3","308,4",1593,37,174,0,No Failure
1580,L48759,Producto 1940,Bajo,"298,3","308,3",1444,"43,8",176,0,No Failure
1581,M16440,Producto 7466,Medio,"298,3","308,4",1444,"47,5",178,0,No Failure
1582,M16441,Producto 7467,Medio,"298,2","308,3",1560,33,181,0,No Failure
1583,H30996,Producto 182,Alto,"298,1","308,3",1530,42,184,0,No Failure
1584,L48763,Producto 1941,Bajo,"298,2","308,4",1310,61,189,1,Overstrain Failure
1585,M16444,Producto 7468,Medio,"298,2","308,3",1639,"33,3",191,0,No Failure
1586,L48765,Producto 1942,Bajo,"298,2","308,3",1400,"48,7",194,0,No Failure
1587,M16446,Producto 7469,Medio,"298,3","308,4",1486,"44,2",196,0,No Failure
1588,M16447,Producto 7470,Medio,"298,2","308,3",1448,"43,3",199,0,No Failure
1589,L48768,Producto 1943,Bajo,"298,2","308,3",1688,32,202,0,No Failure
1590,M16449,Producto 7471,Medio,"298,1","308,3",1453,"41,5",204,0,No Failure
1591,L48770,Producto 1944,Bajo,"298,2","308,4",1497,"37,7",207,0,No Failure
1592,L48771,Producto 1945,Bajo,"298,2","308,4",1355,"49,4",209,0,No Failure
1593,L48772,Producto 1946,Bajo,"298,1","308,4",1592,"38,2",211,0,No Failure
1594,L48773,Producto 1947,Bajo,298,"308,3",1544,"34,7",213,0,No Failure
1595,M16454,Producto 7472,Medio,298,"308,2",1373,"51,2",215,0,No Failure
1596,L48775,Producto 1948,Bajo,298,"308,2",1365,"52,9",218,1,Overstrain Failure
1597,L48776,Producto 1949,Bajo,298,"308,1",1877,"24,3",0,0,No Failure
1598,L48777,Producto 1950,Bajo,"297,9","308,1",1531,"40,8",2,0,No Failure
1599,L48778,Producto 1951,Bajo,"297,9",308,1501,"36,7",4,0,No Failure
1600,L48779,Producto 1952,Bajo,"297,9",308,1490,"46,2",6,0,No Failure
1601,M16460,Producto 7473,Medio,"297,8","307,8",1543,"43,7",8,0,No Failure
1602,L48781,Producto 1953,Bajo,"297,8","307,8",1597,"38,2",11,0,No Failure
1603,H31016,Producto 183,Alto,"297,8","307,9",1600,"33,5",13,0,No Failure
1604,M16463,Producto 7474,Medio,"297,8","307,8",1622,"32,1",18,0,No Failure
1605,L48784,Producto 1954,Bajo,"297,8","307,8",1452,"39,8",21,0,No Failure
1606,L48785,Producto 1955,Bajo,"297,8","307,8",1396,"42,5",23,0,No Failure
1607,L48786,Producto 1956,Bajo,"297,8","307,7",1505,"39,7",25,0,No Failure
1608,L48787,Producto 1957,Bajo,"297,8","307,8",1412,"48,3",27,0,No Failure
1609,L48788,Producto 1958,Bajo,"297,8","307,7",1393,38,29,0,No Failure
1610,L48789,Producto 1959,Bajo,"297,7","307,7",1581,"34,9",31,0,No Failure
1611,L48790,Producto 1960,Bajo,"297,8","307,8",1573,"37,9",33,0,No Failure
1612,M16471,Producto 7475,Medio,"297,8","307,9",1726,"27,3",35,0,No Failure
1613,M16472,Producto 7476,Medio,"297,9","307,9",1540,"39,8",38,0,No Failure
1614,L48793,Producto 1961,Bajo,"297,9",308,1296,"62,9",41,0,No Failure
1615,M16474,Producto 7477,Medio,"297,8","307,9",1802,"25,8",43,0,No Failure
1616,L48795,Producto 1962,Bajo,"297,8","307,9",1447,"48,6",46,0,No Failure
1617,H31030,Producto 184,Alto,"297,8","307,8",1662,"30,7",48,0,No Failure
1618,L48797,Producto 1963,Bajo,"297,8","307,8",1563,"34,3",53,0,No Failure
1619,L48798,Producto 1964,Bajo,"297,9","307,8",1286,"59,5",55,0,No Failure
1620,L48799,Producto 1965,Bajo,"297,9","307,7",1590,"34,6",57,0,No Failure
1621,L48800,Producto 1966,Bajo,"297,9","307,7",1492,"43,7",59,0,No Failure
1622,L48801,Producto 1967,Bajo,"297,7","307,6",1844,"21,9",61,0,No Failure
1623,H31036,Producto 185,Alto,"297,7","307,6",1538,"38,3",63,0,No Failure
1624,L48803,Producto 1968,Bajo,"297,7","307,6",1921,"22,9",68,0,No Failure
1625,M16484,Producto 7478,Medio,"297,8","307,8",1310,"57,9",70,0,No Failure
1626,L48805,Producto 1969,Bajo,"297,9","307,8",1365,"46,9",73,0,No Failure
1627,M16486,Producto 7479,Medio,"297,9","307,8",1303,"59,3",75,0,No Failure
1628,L48807,Producto 1970,Bajo,"297,9","307,8",1499,"37,5",78,0,No Failure
1629,L48808,Producto 1971,Bajo,"297,9","307,8",1451,"38,2",80,0,No Failure
1630,M16489,Producto 7480,Medio,"297,9","307,9",1336,"54,4",82,0,No Failure
1631,L48810,Producto 1972,Bajo,"297,9","307,9",1412,"44,5",85,0,No Failure
1632,L48811,Producto 1973,Bajo,298,308,1433,"39,2",87,0,No Failure
1633,L48812,Producto 1974,Bajo,"297,9","307,9",1426,"43,6",89,0,No Failure
1634,L48813,Producto 1975,Bajo,"297,9","307,9",1476,"45,2",91,0,No Failure
1635,H31048,Producto 186,Alto,"297,9","307,9",1406,"58,5",93,0,No Failure
1636,L48815,Producto 1976,Bajo,"297,8","307,8",1383,"56,5",98,0,No Failure
1637,L48816,Producto 1977,Bajo,"297,9","307,8",1505,"37,3",100,0,No Failure
1638,L48817,Producto 1978,Bajo,"297,9","307,8",1665,"33,9",102,0,No Failure
1639,L48818,Producto 1979,Bajo,"297,9","307,8",1397,45,104,0,No Failure
1640,M16499,Producto 7481,Medio,"297,9","307,8",1450,"43,5",106,0,No Failure
1641,L48820,Producto 1980,Bajo,298,"307,8",1567,"36,4",109,0,No Failure
1642,M16501,Producto 7482,Medio,298,308,1555,37,111,0,No Failure
1643,H31056,Producto 187,Alto,298,"307,8",1588,"35,4",114,0,No Failure
1644,L48823,Producto 1981,Bajo,298,"307,8",1453,"37,7",119,0,No Failure
1645,L48824,Producto 1982,Bajo,298,"307,8",1622,"33,3",121,0,No Failure
1646,L48825,Producto 1983,Bajo,"297,9","307,8",1538,"38,5",123,0,No Failure
1647,M16506,Producto 7483,Medio,"297,9","307,7",1527,"42,8",125,0,No Failure
1648,L48827,Producto 1984,Bajo,"297,8","307,8",1761,"28,9",128,0,No Failure
1649,L48828,Producto 1985,Bajo,"297,9","307,8",1373,"50,2",130,0,No Failure
1650,H31063,Producto 188,Alto,298,"307,9",1482,"37,8",132,0,No Failure
1651,M16510,Producto 7484,Medio,298,"307,9",1417,51,137,0,No Failure
1652,L48831,Producto 1986,Bajo,298,"307,8",1414,"51,7",140,0,No Failure
1653,H31066,Producto 189,Alto,"297,9","307,8",1635,34,142,0,No Failure
1654,L48833,Producto 1987,Bajo,298,"307,8",1386,"57,3",147,0,No Failure
1655,L48834,Producto 1988,Bajo,"298,2","308,1",1379,"62,3",149,0,No Failure
1656,M16515,Producto 7485,Medio,"298,2",308,1577,"35,9",151,0,No Failure
1657,L48836,Producto 1989,Bajo,"298,2","308,1",1532,"42,5",154,0,No Failure
1658,M16517,Producto 7486,Medio,"298,1",308,1374,"48,8",156,0,No Failure
1659,H31072,Producto 190,Alto,"298,1",308,1570,"35,3",159,0,No Failure
1660,L48839,Producto 1990,Bajo,"298,1",308,1697,31,164,0,No Failure
1661,L48840,Producto 1991,Bajo,"298,2",308,1499,"44,1",166,0,No Failure
1662,M16521,Producto 7487,Medio,"298,2",308,1411,"47,2",168,0,No Failure
1663,H31076,Producto 191,Alto,"298,2","307,9",1462,"45,5",171,0,No Failure
1664,M16523,Producto 7488,Medio,"298,1","307,9",1759,"28,6",176,0,No Failure
1665,L48844,Producto 1992,Bajo,"298,2",308,1535,38,179,0,No Failure
1666,H31079,Producto 192,Alto,"298,2","307,9",1491,"39,7",181,0,No Failure
1667,L48846,Producto 1993,Bajo,"298,2","307,9",1551,36,186,0,No Failure
1668,L48847,Producto 1994,Bajo,"298,2","307,9",1769,"27,2",188,0,No Failure
1669,L48848,Producto 1995,Bajo,"298,2","307,9",1551,"34,1",190,0,No Failure
1670,L48849,Producto 1996,Bajo,"298,2","307,9",1544,"31,4",192,0,No Failure
1671,L48850,Producto 1997,Bajo,"298,2","307,8",1528,"31,1",194,0,No Failure
1672,L48851,Producto 1998,Bajo,"298,1","307,9",1614,"35,8",196,0,No Failure
1673,L48852,Producto 1999,Bajo,"298,1","307,8",1432,"49,8",198,0,No Failure
1674,M16533,Producto 7489,Medio,"298,1","307,8",1384,"43,7",200,0,No Failure
1675,L48854,Producto 2000,Bajo,"298,1","307,8",1540,"37,8",203,0,No Failure
1676,L48855,Producto 2001,Bajo,298,"307,7",1407,"43,9",205,0,No Failure
1677,H31090,Producto 193,Alto,"297,9","307,6",1418,43,207,0,No Failure
1678,M16537,Producto 7490,Medio,"297,9","307,5",1647,"30,8",212,0,No Failure
1679,L48858,Producto 2002,Bajo,298,"307,5",1644,"32,8",215,0,No Failure
1680,L48859,Producto 2003,Bajo,298,"307,5",1792,"27,9",217,0,No Failure
1681,M16540,Producto 7491,Medio,"297,9","307,4",1610,"34,6",219,0,No Failure
1682,M16541,Producto 7492,Medio,"297,8","307,3",1804,26,222,0,No Failure
1683,H31096,Producto 194,Alto,"297,9","307,4",1604,"36,1",225,1,Tool Wear Failure
1684,M16543,Producto 7493,Medio,"297,9","307,4",1403,"52,8",0,0,No Failure
1685,L48864,Producto 2004,Bajo,"297,8","307,3",1438,"44,5",3,0,No Failure
1686,L48865,Producto 2005,Bajo,"297,9","307,3",1824,"26,3",5,0,No Failure
1687,H31100,Producto 195,Alto,"297,9","307,3",1663,"28,7",7,0,No Failure
1688,L48867,Producto 2006,Bajo,"297,9","307,3",1502,"36,7",12,0,No Failure
1689,L48868,Producto 2007,Bajo,"297,9","307,4",1606,"35,5",14,0,No Failure
1690,L48869,Producto 2008,Bajo,"297,9","307,5",1561,"37,7",16,0,No Failure
1691,M16550,Producto 7494,Medio,"297,9","307,4",1435,"42,9",18,0,No Failure
1692,L48871,Producto 2009,Bajo,"297,9","307,5",1602,"38,3",21,0,No Failure
1693,M16552,Producto 7495,Medio,"298,1","307,6",1764,"27,7",23,0,No Failure
1694,H31107,Producto 196,Alto,298,"307,5",1683,"27,8",26,0,No Failure
1695,L48874,Producto 2010,Bajo,298,"307,5",1618,"35,2",31,0,No Failure
